"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.078,0.0861,0.0838,0.0823,0.0779,0.0716,0.05
"Standard deviation of FDP",0.0428,0.0488,0.0503,0.0524,0.0666,0.0612,0.0608
"Average power",1,1,1,0.9975,0.4203,0.4173,0.2137
"Standard deviation of power",0,0,0,0.0064,0.1989,0.2033,0.1796
