"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0734,0.0858,0.0601,0.0454,0.0751,0.0751,0.0652
"Standard deviation of FDP",0.0507,0.064,0.0545,0.0837,0.0708,0.0708,0.0697
"Average power",0.5162,0.3596,0.2791,0.0476,0.2035,0.2035,0.1929
"Standard deviation of power",0.1475,0.1833,0.2154,0.0755,0.1469,0.1469,0.1486
