"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0735,0.07,0.0482,0.0351,0.0672,0.067,0.0525
"Standard deviation of FDP",0.0512,0.0617,0.0503,0.0776,0.0732,0.0729,0.0672
"Average power",0.4341,0.2805,0.2306,0.0356,0.166,0.166,0.1575
"Standard deviation of power",0.1517,0.1814,0.1738,0.0653,0.1405,0.1405,0.138
