"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","coefdiff_bin","lambdadiff_bin","lambdasmax_bin","random forest"
"Average FDP",0.092,0.0887,0.0613,0.0893,0.0909,0.0508,0.0546
"Standard deviation of FDP",0.0557,0.0672,0.0611,0.0549,0.0666,0.0591,0.0704
"Average power",0.5247,0.3641,0.3108,0.6135,0.3691,0.2442,0.1678
"Standard deviation of power",0.1586,0.1929,0.1999,0.1368,0.1968,0.1834,0.1403
