"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0866,0.0925,0.0863,0.0852,0.0964,0.093,0.0804
"Standard deviation of FDP",0.0459,0.0525,0.0516,0.068,0.0642,0.0642,0.0627
"Average power",0.976,0.7662,0.7572,0.3442,0.4072,0.4084,0.3742
"Standard deviation of power",0.0225,0.1879,0.1955,0.165,0.1594,0.1614,0.1479
