"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0861,0.0918,0.0912,0.0877,0.0895,0.0907,0.0991
"Standard deviation of FDP",0.0605,0.0717,0.0751,0.0837,0.0758,0.0773,0.0768
"Average power",1,0.9988,0.9995,0.6002,0.5562,0.5535,0.663
"Standard deviation of power",0,0.0055,0.0035,0.1996,0.2079,0.2034,0.1448
