"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.079,0.0819,0.0835,0.0818,0.0717,0.0779,0.0758
"Standard deviation of FDP",0.0447,0.0514,0.0546,0.0666,0.0677,0.071,0.0663
"Average power",1,0.9798,0.9728,0.4607,0.3998,0.4003,0.46
"Standard deviation of power",0,0.0903,0.1167,0.1759,0.2015,0.1879,0.1915
