"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0753,0.0866,0.0829,0.0811,0.0929,0.0876,0.0777
"Standard deviation of FDP",0.0534,0.0625,0.0606,0.0703,0.0735,0.0711,0.0635
"Average power",1,0.9448,0.966,0.543,0.6182,0.6142,0.6405
"Standard deviation of power",0,0.1599,0.0919,0.2074,0.1762,0.182,0.1539
