"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0832,0.0798,0.0788,0.0798,0.0804,0.0847,0.0658
"Standard deviation of FDP",0.0447,0.0374,0.0375,0.0586,0.0602,0.0603,0.051
"Average power",1,0.9433,0.9305,0.3731,0.3291,0.3381,0.3305
"Standard deviation of power",0,0.1335,0.1697,0.1588,0.1556,0.1522,0.141
