"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","coefdiff_bin","lambdadiff_bin","lambdasmax_bin","random forest"
"Average FDP",0.0765,0.0776,0.0699,0.0783,0.0692,0.0495,0.0764
"Standard deviation of FDP",0.0639,0.0672,0.071,0.0572,0.0682,0.0572,0.0786
"Average power",0.7972,0.5558,0.5668,0.8742,0.5295,0.4698,0.3432
"Standard deviation of power",0.1219,0.2464,0.2554,0.0843,0.2552,0.2784,0.2139
