"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0886,0.09,0.0852,0.0709,0.0782,0.077,0.0854
"Standard deviation of FDP",0.0638,0.0659,0.0655,0.0684,0.0686,0.0661,0.0693
"Average power",1,0.9992,0.9988,0.61,0.579,0.5815,0.6315
"Standard deviation of power",0,0.0043,0.0065,0.1917,0.1893,0.1855,0.1717
