"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0757,0.0775,0.0759,0.0484,0.07,0.07,0.0718
"Standard deviation of FDP",0.0876,0.082,0.0887,0.1045,0.0957,0.0957,0.1014
"Average power",0.944,0.791,0.822,0.1195,0.4725,0.4725,0.5375
"Standard deviation of power",0.0836,0.2371,0.2418,0.2077,0.2911,0.2911,0.2958
