"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","coefdiff_bin","lambdadiff_bin","lambdasmax_bin","random forest"
"Average FDP",0.069,0.0676,0.0544,0.0732,0.0639,0.0462,0.0505
"Standard deviation of FDP",0.0472,0.0563,0.0559,0.0477,0.0548,0.0481,0.0618
"Average power",0.4392,0.3095,0.2482,0.5268,0.3055,0.2077,0.1343
"Standard deviation of power",0.1458,0.2,0.2051,0.1513,0.2014,0.1916,0.1254
