"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0965,0.093,0.0814,0.0891,0.0899,0.092,0.0741
"Standard deviation of FDP",0.0409,0.0464,0.0488,0.0622,0.0551,0.0604,0.0587
"Average power",0.9574,0.767,0.6987,0.335,0.3636,0.3594,0.3397
"Standard deviation of power",0.0339,0.1746,0.2438,0.1623,0.1563,0.1607,0.1349
