"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","coefdiff_bin","lambdadiff_bin","lambdasmax_bin","random forest"
"Average FDP",0.0895,0.0811,0.0612,0.0851,0.0791,0.045,0.0714
"Standard deviation of FDP",0.0613,0.0783,0.0625,0.0608,0.0753,0.0558,0.0775
"Average power",0.6168,0.3755,0.3472,0.7097,0.3495,0.2583,0.2227
"Standard deviation of power",0.1486,0.2378,0.2359,0.1409,0.2436,0.2313,0.1657
