"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","coefdiff_bin","lambdadiff_bin","lambdasmax_bin","random forest"
"Average FDP",0.0571,0.0635,0.0633,0.0499,0.0571,0.0456,0.0589
"Standard deviation of FDP",0.07,0.0752,0.078,0.0663,0.0666,0.0581,0.0797
"Average power",0.992,0.893,0.9225,1,0.8955,0.9005,0.6445
"Standard deviation of power",0.0197,0.1537,0.1733,0,0.1725,0.1939,0.2477
