"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0894,0.087,0.0767,0.079,0.0889,0.0899,0.0803
"Standard deviation of FDP",0.0539,0.0507,0.0499,0.0787,0.0802,0.0759,0.0666
"Average power",0.9925,0.8145,0.8022,0.3518,0.4083,0.4122,0.4493
"Standard deviation of power",0.0145,0.2022,0.2426,0.1859,0.2106,0.2011,0.1592
