"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0652,0.0612,0.0441,0.0316,0.0629,0.0628,0.0462
"Standard deviation of FDP",0.0528,0.0572,0.0542,0.0688,0.0668,0.0667,0.0642
"Average power",0.3821,0.2667,0.2044,0.0348,0.1554,0.1554,0.1277
"Standard deviation of power",0.1849,0.2065,0.1962,0.0648,0.1423,0.1421,0.1298
