"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0876,0.0946,0.0896,0.0973,0.0951,0.0956,0.086
"Standard deviation of FDP",0.0508,0.0544,0.0501,0.0678,0.075,0.0775,0.0626
"Average power",1,0.9945,0.993,0.488,0.4625,0.4647,0.4898
"Standard deviation of power",0,0.0195,0.0339,0.1935,0.1852,0.1854,0.1826
