"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0894,0.0892,0.083,0.08,0.0697,0.0724,0.058
"Standard deviation of FDP",0.05,0.0564,0.056,0.0501,0.065,0.0659,0.0707
"Average power",1,1,0.9975,0.996,0.3858,0.3938,0.2153
"Standard deviation of power",0,0,0.0234,0.0089,0.2165,0.2109,0.1777
