"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0809,0.0801,0.0764,0.0786,0.0659,0.0675,0.071
"Standard deviation of FDP",0.0635,0.0634,0.0576,0.0602,0.0649,0.067,0.0832
"Average power",1,1,1,0.9998,0.5762,0.575,0.4402
"Standard deviation of power",0,0,0,0.0025,0.2017,0.2164,0.2067
