"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0678,0.0817,0.0838,0.0518,0.0763,0.0763,0.1011
"Standard deviation of FDP",0.0589,0.0739,0.0705,0.0966,0.0955,0.0956,0.0966
"Average power",0.7915,0.5698,0.6165,0.0678,0.2888,0.2888,0.349
"Standard deviation of power",0.1308,0.2522,0.2286,0.1171,0.2178,0.2174,0.2157
