"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0912,0.0848,0.0813,0.0826,0.0729,0.0765,0.0741
"Standard deviation of FDP",0.0498,0.0468,0.0465,0.0591,0.0601,0.0636,0.0575
"Average power",1,0.9528,0.9289,0.4082,0.3365,0.3292,0.3713
"Standard deviation of power",0,0.1087,0.1783,0.1606,0.168,0.1763,0.1549
