"","lasso_coefdiff","lasso_lambdadiff","lasso_lambdasmax","pearson","kendall","spearman","random forest"
"Average FDP",0.0743,0.0684,0.0593,0.0638,0.0703,0.068,0.0747
"Standard deviation of FDP",0.0766,0.0681,0.062,0.0776,0.0783,0.0773,0.0851
"Average power",1,1,1,1,0.7095,0.6835,0.7785
"Standard deviation of power",0,0,0,0,0.2379,0.2859,0.1761
